,,cut_cost,cut_cost,cut_cost,cut_cost,heuristic_time,heuristic_time,heuristic_time,heuristic_time,workload_id
,,mean,std,min,max,mean,std,min,max,count
model,num_qubits,,,,,,,,,
MBQC,142,7.0,13.5277,0,31,0.0131,0.0069,0.0068,0.0248,5
MBQC,152,0.0,0.0,0,0,0.0126,0.0042,0.0087,0.0174,5
MBQC,162,0.2,0.4472,0,1,0.0142,0.0046,0.0083,0.02,5
MBQC,172,0.0,0.0,0,0,0.0174,0.0056,0.0095,0.0241,5
MBQC,182,0.8,1.3038,0,3,0.0181,0.0079,0.0118,0.0312,5
MBQC,192,0.0,0.0,0,0,0.0206,0.0018,0.0181,0.0229,5
MBQC,202,0.0,0.0,0,0,0.0267,0.0127,0.0132,0.0474,5
MBQC,212,0.0,0.0,0,0,0.0175,0.0078,0.011,0.0304,5
MBQC,222,1.4,1.9494,0,4,0.019,0.0051,0.0113,0.0241,5
MBQC,232,0.4,0.5477,0,1,0.0236,0.0062,0.0173,0.0331,5
MBQC,242,0.2,0.4472,0,1,0.0214,0.0038,0.0164,0.0257,5
MBQC,252,0.0,0.0,0,0,0.0258,0.0062,0.0185,0.0333,5
MBQC,262,0.0,0.0,0,0,0.032,0.0093,0.0192,0.0426,5
MBQC,272,0.2,0.4472,0,1,0.0273,0.0078,0.0174,0.0355,5
MBQC,282,0.2,0.4472,0,1,0.0251,0.005,0.0195,0.0321,5
MBQC,292,0.0,0.0,0,0,0.0286,0.0053,0.0221,0.0353,5
MBQC,302,1.6,3.0496,0,7,0.0301,0.015,0.015,0.0545,5
MBQC,312,0.2,0.4472,0,1,0.0366,0.0091,0.0258,0.049,5
MBQC,322,0.2,0.4472,0,1,0.0408,0.0193,0.0215,0.0686,5
MBQC,332,0.2,0.4472,0,1,0.0361,0.0151,0.0237,0.0593,5
MBQC,342,0.2,0.4472,0,1,0.0375,0.0159,0.0218,0.0611,5
MBQC,352,0.4,0.8944,0,2,0.0439,0.0165,0.0251,0.0626,5
MBQC,362,0.0,0.0,0,0,0.0511,0.0204,0.0322,0.0817,5
MBQC,372,1.4,1.9494,0,4,0.0429,0.0177,0.0237,0.0637,5
