circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.1,2,600.0,1372.0,2.2866666666666666,1.434678077697754,0.05957293510437012,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[1, 0, 3]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.2,2,600.0,1372.0,2.2866666666666666,1.4556560516357422,0.05987286567687988,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[1, 0, 3]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.3,2,600.0,1372.0,2.2866666666666666,1.4339063167572021,0.05986499786376953,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[1, 0, 3]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.4,2,600.0,1372.0,2.2866666666666666,1.4321091175079346,0.06998300552368164,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[1, 0, 3]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.5,2,600.0,1372.0,2.2866666666666666,1.4299843311309814,0.06068897247314453,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[1, 0, 3]"
tsp_indep_qiskit_4,4,122,118,4,103,3,1.0,2,50.0,232.0,4.64,0.24726200103759766,0.0020079612731933594,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
tsp_indep_qiskit_4,4,122,118,4,103,3,1.1,2,50.0,232.0,4.64,0.24799680709838867,0.0020220279693603516,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
tsp_indep_qiskit_4,4,122,118,4,103,3,1.2,2,50.0,232.0,4.64,0.24747800827026367,0.002012014389038086,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
tsp_indep_qiskit_4,4,122,118,4,103,3,1.3,2,50.0,232.0,4.64,0.24683690071105957,0.0020101070404052734,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
tsp_indep_qiskit_4,4,122,118,4,103,3,1.4,2,50.0,232.0,4.64,0.2475450038909912,0.0020248889923095703,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
tsp_indep_qiskit_4,4,122,118,4,103,3,1.5,2,50.0,232.0,4.64,0.2470381259918213,0.002003908157348633,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[2, 0, 2]"
qwalk-noancilla_indep_qiskit_5,5,1771,1766,5,1502,3,1.0,2,1860.0,4552.0,2.447311827956989,18.881367921829224,0.44727182388305664,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 2, 1]"
qwalk-noancilla_indep_qiskit_5,5,1771,1766,5,1502,3,1.1,2,1860.0,4552.0,2.447311827956989,18.887284994125366,0.470045804977417,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 2, 1]"
qwalk-noancilla_indep_qiskit_5,5,1771,1766,5,1502,3,1.2,2,1860.0,4552.0,2.447311827956989,19.213685274124146,0.47696685791015625,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[2, 2, 1]"
qwalk-noancilla_indep_qiskit_5,5,1771,1766,5,1502,3,1.3,3,1200.0,5262.0,4.385,47.08289909362793,0.3801441192626953,QUBIT-LEVEL,"[2, 3, 0]","[3, 3, 3]","[2, 3, 0]","[3, 0, 2]"
qwalk-noancilla_indep_qiskit_5,5,1771,1766,5,1502,3,1.4,3,1200.0,5262.0,4.385,48.58568572998047,0.3642449378967285,QUBIT-LEVEL,"[2, 3, 0]","[3, 3, 3]","[2, 3, 0]","[3, 0, 2]"
