circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,partitions_checked,search_completed,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
dj_indep_qiskit_7,7,62,56,6,49,3,1.3,4,10.0,30.0,3.0,5.587784767150879,0.0005698204040527344,NODE-LEVEL-TIMED,47,False,"[4, 3, 1]","[4, 2, 4]","[3, 2, 1]","[3, 0, 3]"
dj_indep_qiskit_8,8,72,65,7,57,3,1.0,3,30.0,40.0,1.3333333333333333,9.304248809814453,0.0006759166717529297,NODE-LEVEL-TIMED,21,False,"[3, 3, 3]","[3, 3, 3]","[3, 2, 2]","[4, 1, 2]"
dj_indep_qiskit_8,8,72,65,7,57,3,1.1,3,30.0,40.0,1.3333333333333333,9.35407018661499,0.0006499290466308594,NODE-LEVEL-TIMED,21,False,"[3, 3, 3]","[3, 3, 3]","[3, 2, 2]","[4, 1, 2]"
dj_indep_qiskit_8,8,72,65,7,57,3,1.2,4,10.0,40.0,4.0,257.3620979785919,0.0006442070007324219,NODE-LEVEL-TIMED,103,False,"[4, 4, 1]","[4, 4, 4]","[3, 3, 1]","[3, 1, 3]"
dj_indep_qiskit_8,8,72,65,7,57,3,1.3,4,10.0,40.0,4.0,257.4794738292694,0.0006477832794189453,NODE-LEVEL-TIMED,103,False,"[4, 4, 1]","[4, 4, 4]","[3, 3, 1]","[3, 1, 3]"
dj_indep_qiskit_9,9,82,74,8,65,3,1.0,3,60.0,40.0,0.6666666666666666,600.0001380443573,0.0007810592651367188,NODE-LEVEL-TIMED,7,False,"[3, 3, 3]","[3, 3, 3]","[2, 3, 3]","[5, 1, 2]"
dj_indep_qiskit_9,9,82,74,8,65,3,1.1,4,20.0,50.0,2.5,600.0001308917999,0.0007510185241699219,NODE-LEVEL-TIMED,71,False,"[4, 4, 4]","[4, 4, 4]","[3, 2, 3]","[3, 2, 3]"
dj_indep_qiskit_9,9,82,74,8,65,3,1.2,4,20.0,50.0,2.5,600.0001540184021,0.0006899833679199219,NODE-LEVEL-TIMED,71,False,"[4, 4, 4]","[4, 4, 4]","[3, 2, 3]","[3, 2, 3]"
dj_indep_qiskit_9,9,82,74,8,65,3,1.3,4,20.0,50.0,2.5,600.0001339912415,0.0007359981536865234,NODE-LEVEL-TIMED,71,False,"[4, 4, 4]","[4, 4, 4]","[3, 2, 3]","[3, 2, 3]"
ghz_indep_qiskit_10,10,75,65,10,56,3,1.0,4,20.0,20.0,1.0,12.921410083770752,0.0007266998291015625,NODE-LEVEL-TIMED,72,False,"[4, 4, 3]","[4, 4, 4]","[4, 3, 3]","[4, 3, 3]"
ghz_indep_qiskit_10,10,75,65,10,56,3,1.1,4,20.0,20.0,1.0,12.937233924865723,0.0007169246673583984,NODE-LEVEL-TIMED,72,False,"[4, 4, 3]","[4, 4, 4]","[4, 3, 3]","[4, 3, 3]"
ghz_indep_qiskit_10,10,75,65,10,56,3,1.2,4,20.0,20.0,1.0,12.863006114959717,0.0007081031799316406,NODE-LEVEL-TIMED,72,False,"[4, 4, 3]","[4, 4, 4]","[4, 3, 3]","[4, 3, 3]"
ghz_indep_qiskit_10,10,75,65,10,56,3,1.3,5,10.0,20.0,2.0,98.42781829833984,0.000720977783203125,NODE-LEVEL-TIMED,136,False,"[5, 5, 2]","[5, 5, 2]","[4, 5, 1]","[5, 4, 1]"
ghz_indep_qiskit_6,6,43,37,6,32,3,1.0,2,20.0,20.0,1.0,0.028477907180786133,0.0003628730773925781,NODE-LEVEL-TIMED,10,False,"[2, 2, 2]","[2, 2, 2]","[2, 2, 2]","[4, 1, 1]"
ghz_indep_qiskit_6,6,43,37,6,32,3,1.1,3,10.0,20.0,2.0,0.08129286766052246,0.00037097930908203125,NODE-LEVEL-TIMED,51,False,"[3, 2, 3]","[3, 3, 2]","[3, 1, 2]","[3, 2, 1]"
ghz_indep_qiskit_6,6,43,37,6,32,3,1.2,3,10.0,20.0,2.0,0.08154892921447754,0.00037026405334472656,NODE-LEVEL-TIMED,51,False,"[3, 2, 3]","[3, 3, 2]","[3, 1, 2]","[3, 2, 1]"
ghz_indep_qiskit_6,6,43,37,6,32,3,1.3,3,10.0,20.0,2.0,0.08176183700561523,0.0003910064697265625,NODE-LEVEL-TIMED,51,False,"[3, 2, 3]","[3, 3, 2]","[3, 1, 2]","[3, 2, 1]"
ghz_indep_qiskit_7,7,51,44,7,38,3,1.0,3,20.0,20.0,1.0,0.8535501956939697,0.00048279762268066406,NODE-LEVEL-TIMED,43,False,"[3, 3, 3]","[3, 3, 3]","[3, 2, 2]","[3, 2, 2]"
ghz_indep_qiskit_7,7,51,44,7,38,3,1.1,3,20.0,20.0,1.0,0.8502018451690674,0.00047206878662109375,NODE-LEVEL-TIMED,43,False,"[3, 3, 3]","[3, 3, 3]","[3, 2, 2]","[3, 2, 2]"
ghz_indep_qiskit_7,7,51,44,7,38,3,1.2,3,20.0,20.0,1.0,0.8439919948577881,0.000476837158203125,NODE-LEVEL-TIMED,43,False,"[3, 3, 3]","[3, 3, 3]","[3, 2, 2]","[3, 2, 2]"
ghz_indep_qiskit_7,7,51,44,7,38,3,1.3,4,10.0,20.0,2.0,3.225954055786133,0.0005021095275878906,NODE-LEVEL-TIMED,64,False,"[3, 2, 4]","[4, 4, 1]","[3, 1, 3]","[4, 3, 0]"
