circuit,num_qubits,num_nodes,num_quantum_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts
realamprandom_indep_qiskit_4,4,132,128,110,3,1.1,2,14,24.0,1.7142857142857142,0.0028159618377685547,0.002371072769165039,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
realamprandom_indep_qiskit_4,4,132,128,110,3,1.2,2,14,24.0,1.7142857142857142,0.003103017807006836,0.0021028518676757812,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
ghz_indep_qiskit_4,4,27,23,20,3,1.0,2,3,9.0,3.0,0.0007429122924804688,0.00016808509826660156,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
ghz_indep_qiskit_4,4,27,23,20,3,1.1,2,3,9.0,3.0,0.0007088184356689453,0.00015473365783691406,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
ghz_indep_qiskit_4,4,27,23,20,3,1.2,2,3,9.0,3.0,0.0007638931274414062,0.00015616416931152344,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qftentangled_indep_qiskit_5,5,112,107,91,3,1.0,2,15,19.0,1.2666666666666666,0.004106044769287109,0.0017731189727783203,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qftentangled_indep_qiskit_5,5,112,107,91,3,1.1,2,15,19.0,1.2666666666666666,0.003856182098388672,0.0020558834075927734,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qftentangled_indep_qiskit_5,5,112,107,91,3,1.2,2,15,19.0,1.2666666666666666,0.0037093162536621094,0.001898050308227539,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
vqe_indep_qiskit_3,3,39,36,32,3,1.0,1,6,7.0,1.1666666666666667,0.00034809112548828125,0.0002911090850830078,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]"
vqe_indep_qiskit_3,3,39,36,32,3,1.1,2,3,15.0,5.0,0.0005571842193603516,0.0002570152282714844,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
vqe_indep_qiskit_3,3,39,36,32,3,1.2,2,3,15.0,5.0,0.0005939006805419922,0.0002942085266113281,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
qftentangled_indep_qiskit_4,4,79,75,64,3,1.0,2,8,19.0,2.375,0.001837015151977539,0.000843048095703125,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qftentangled_indep_qiskit_4,4,79,75,64,3,1.1,2,8,19.0,2.375,0.0016460418701171875,0.000885009765625,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qftentangled_indep_qiskit_4,4,79,75,64,3,1.2,2,8,19.0,2.375,0.0016930103302001953,0.000926971435546875,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
ghz_indep_qiskit_3,3,19,16,14,3,1.0,1,4,5.0,1.25,0.0002732276916503906,0.00013399124145507812,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]"
ghz_indep_qiskit_3,3,19,16,14,3,1.1,2,2,8.0,4.0,0.0003819465637207031,9.322166442871094e-05,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
ghz_indep_qiskit_3,3,19,16,14,3,1.2,2,2,8.0,4.0,0.0003876686096191406,9.179115295410156e-05,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
realamprandom_indep_qiskit_3,3,72,69,60,3,1.0,1,11,11.0,1.0,0.000408172607421875,0.0008189678192138672,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]"
realamprandom_indep_qiskit_3,3,72,69,60,3,1.1,2,7,22.0,3.142857142857143,0.0008680820465087891,0.0006358623504638672,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
realamprandom_indep_qiskit_3,3,72,69,60,3,1.2,2,7,22.0,3.142857142857143,0.0008401870727539062,0.0006380081176757812,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
dj_indep_qiskit_4,4,32,29,25,3,1.0,2,3,8.0,2.6666666666666665,0.0008571147918701172,0.0002307891845703125,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
dj_indep_qiskit_4,4,32,29,25,3,1.1,2,3,8.0,2.6666666666666665,0.0008821487426757812,0.00021386146545410156,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
dj_indep_qiskit_4,4,32,29,25,3,1.2,2,3,8.0,2.6666666666666665,0.0008640289306640625,0.00019288063049316406,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
graphstate_indep_qiskit_3,3,27,24,21,3,1.0,1,5,5.0,1.0,0.0002872943878173828,0.00018787384033203125,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]"
graphstate_indep_qiskit_3,3,27,24,21,3,1.1,2,3,9.0,3.0,0.0004420280456542969,0.00014281272888183594,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
graphstate_indep_qiskit_3,3,27,24,21,3,1.2,2,3,9.0,3.0,0.00045228004455566406,0.00015306472778320312,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
dj_indep_qiskit_5,5,42,38,33,3,1.0,2,5,10.0,2.0,0.0019221305847167969,0.0003261566162109375,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
dj_indep_qiskit_5,5,42,38,33,3,1.1,2,5,10.0,2.0,0.0017447471618652344,0.0004010200500488281,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
dj_indep_qiskit_5,5,42,38,33,3,1.2,2,5,10.0,2.0,0.0017910003662109375,0.0005471706390380859,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
realamprandom_indep_qiskit_2,2,30,28,25,3,1.0,1,4,5.0,1.25,0.0005512237548828125,0.00023412704467773438,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
realamprandom_indep_qiskit_2,2,30,28,25,3,1.1,1,4,5.0,1.25,0.0005550384521484375,0.000263214111328125,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
realamprandom_indep_qiskit_2,2,30,28,25,3,1.2,1,4,5.0,1.25,0.000347137451171875,0.00021219253540039062,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
ghz_indep_qiskit_2,2,11,9,8,3,1.0,1,2,5.0,2.5,0.0002560615539550781,7.104873657226562e-05,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
ghz_indep_qiskit_2,2,11,9,8,3,1.1,1,2,5.0,2.5,0.0002551078796386719,6.580352783203125e-05,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
ghz_indep_qiskit_2,2,11,9,8,3,1.2,1,2,5.0,2.5,0.000244140625,6.008148193359375e-05,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
qftentangled_indep_qiskit_3,3,46,43,37,3,1.0,1,8,8.0,1.0,0.0003600120544433594,0.0004248619079589844,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]"
qftentangled_indep_qiskit_3,3,46,43,37,3,1.1,2,5,17.0,3.4,0.0007920265197753906,0.0004298686981201172,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
qftentangled_indep_qiskit_3,3,46,43,37,3,1.2,2,5,17.0,3.4,0.0007131099700927734,0.0003628730773925781,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
vqe_indep_qiskit_4,4,56,52,46,3,1.0,2,4,16.0,4.0,0.001486063003540039,0.000614166259765625,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
vqe_indep_qiskit_4,4,56,52,46,3,1.1,2,4,16.0,4.0,0.0015649795532226562,0.0005857944488525391,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
vqe_indep_qiskit_4,4,56,52,46,3,1.2,2,4,16.0,4.0,0.0013229846954345703,0.000476837158203125,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
vqe_indep_qiskit_5,5,73,68,60,3,1.0,2,7,16.0,2.2857142857142856,0.0028061866760253906,0.0010991096496582031,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
vqe_indep_qiskit_5,5,73,68,60,3,1.1,2,7,16.0,2.2857142857142856,0.002869129180908203,0.0009448528289794922,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
vqe_indep_qiskit_5,5,73,68,60,3,1.2,2,7,16.0,2.2857142857142856,0.0030961036682128906,0.0010139942169189453,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qftentangled_indep_qiskit_2,2,25,23,20,3,1.0,1,4,9.0,2.25,0.0003719329833984375,0.00039696693420410156,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
qftentangled_indep_qiskit_2,2,25,23,20,3,1.1,1,4,9.0,2.25,0.0005409717559814453,0.00018286705017089844,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
qftentangled_indep_qiskit_2,2,25,23,20,3,1.2,1,4,9.0,2.25,0.00033593177795410156,0.00017499923706054688,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
su2random_indep_qiskit_2,2,30,28,25,3,1.0,1,4,5.0,1.25,0.000308990478515625,0.00021076202392578125,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
su2random_indep_qiskit_2,2,30,28,25,3,1.1,1,4,5.0,1.25,0.0003058910369873047,0.00020384788513183594,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
su2random_indep_qiskit_2,2,30,28,25,3,1.2,1,4,5.0,1.25,0.00032901763916015625,0.00021004676818847656,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
grover-noancilla_indep_qiskit_2,2,6,4,4,3,1.0,1,1,2.0,2.0,0.00023317337036132812,4.00543212890625e-05,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
grover-noancilla_indep_qiskit_2,2,6,4,4,3,1.1,1,1,2.0,2.0,0.00021982192993164062,3.528594970703125e-05,QUBIT-LEVEL,"[1, 1, 0]","[1, 1, 1]"
