circuit,overhead,cut_cost,num_qubits,num_nodes,num_hyperedges,k,cap
qnn_indep_qiskit_103,1.1,176,137808,0,0,4,37897
qnn_indep_qiskit_103,1.2,176,137808,0,0,4,41342
qnn_indep_qiskit_103,1.3,176,137808,0,0,4,44787
qnn_indep_qiskit_103,1.5,176,137808,0,0,4,51678
qnn_indep_qiskit_103,2.0,176,137808,0,0,4,68904
graphstate_indep_qiskit_128,1.0,521,1152,0,0,4,288
graphstate_indep_qiskit_128,1.1,521,1152,0,0,4,316
graphstate_indep_qiskit_128,1.2,521,1152,0,0,4,345
graphstate_indep_qiskit_128,1.3,521,1152,0,0,4,374
graphstate_indep_qiskit_128,1.5,521,1152,0,0,4,432
graphstate_indep_qiskit_128,2.0,521,1152,0,0,4,576
qftentangled_indep_qiskit_63,1.0,4525,12466,0,0,4,3116
qftentangled_indep_qiskit_63,1.1,4525,12466,0,0,4,3428
qftentangled_indep_qiskit_63,1.2,4525,12466,0,0,4,3739
qftentangled_indep_qiskit_63,1.3,4525,12466,0,0,4,4051
qftentangled_indep_qiskit_63,1.5,4525,12466,0,0,4,4674
qftentangled_indep_qiskit_63,2.0,4525,12466,0,0,4,6233
ghz_indep_qiskit_79,1.0,320,627,0,0,4,156
ghz_indep_qiskit_79,1.1,320,627,0,0,4,172
ghz_indep_qiskit_79,1.2,320,627,0,0,4,188
ghz_indep_qiskit_79,1.3,320,627,0,0,4,203
ghz_indep_qiskit_79,1.5,320,627,0,0,4,235
ghz_indep_qiskit_79,2.0,320,627,0,0,4,313
qftentangled_indep_qiskit_77,1.0,7443,18472,0,0,4,4618
qftentangled_indep_qiskit_77,1.1,7443,18472,0,0,4,5079
qftentangled_indep_qiskit_77,1.2,7443,18472,0,0,4,5541
qftentangled_indep_qiskit_77,1.3,7443,18472,0,0,4,6003
qftentangled_indep_qiskit_77,1.5,7443,18472,0,0,4,6927
qftentangled_indep_qiskit_77,2.0,7443,18472,0,0,4,9236
qnn_indep_qiskit_117,1.0,201,177834,0,0,4,44458
qnn_indep_qiskit_117,1.1,201,177834,0,0,4,48904
qnn_indep_qiskit_117,1.2,201,177834,0,0,4,53350
qnn_indep_qiskit_117,1.3,201,177834,0,0,4,57796
qnn_indep_qiskit_117,1.5,201,177834,0,0,4,66687
qnn_indep_qiskit_117,2.0,201,177834,0,0,4,88917
qft_indep_qiskit_71,1.0,6042,15333,0,0,4,3833
qft_indep_qiskit_71,1.1,6042,15333,0,0,4,4216
qft_indep_qiskit_71,1.2,6042,15333,0,0,4,4599
qft_indep_qiskit_71,1.3,6042,15333,0,0,4,4983
qft_indep_qiskit_71,1.5,6042,15333,0,0,4,5749
qft_indep_qiskit_71,2.0,6042,15333,0,0,4,7666
qftentangled_indep_qiskit_113,1.0,382,39316,0,0,4,9829
qftentangled_indep_qiskit_113,1.1,382,39316,0,0,4,10811
qftentangled_indep_qiskit_113,1.2,382,39316,0,0,4,11794
qftentangled_indep_qiskit_113,1.3,382,39316,0,0,4,12777
qftentangled_indep_qiskit_113,1.5,382,39316,0,0,4,14743
qftentangled_indep_qiskit_113,2.0,382,39316,0,0,4,19658
ghz_indep_qiskit_92,1.0,385,731,0,0,4,182
ghz_indep_qiskit_92,1.1,385,731,0,0,4,201
ghz_indep_qiskit_92,1.2,385,731,0,0,4,219
ghz_indep_qiskit_92,1.3,385,731,0,0,4,237
ghz_indep_qiskit_92,1.5,385,731,0,0,4,274
ghz_indep_qiskit_92,2.0,385,731,0,0,4,365
ghz_indep_qiskit_86,1.0,355,683,0,0,4,170
ghz_indep_qiskit_86,1.1,355,683,0,0,4,187
ghz_indep_qiskit_86,1.2,355,683,0,0,4,204
ghz_indep_qiskit_86,1.3,355,683,0,0,4,221
ghz_indep_qiskit_86,1.5,355,683,0,0,4,256
ghz_indep_qiskit_86,2.0,355,683,0,0,4,341
qftentangled_indep_qiskit_88,1.0,10166,24019,0,0,4,6004
qftentangled_indep_qiskit_88,1.1,10166,24019,0,0,4,6605
qftentangled_indep_qiskit_88,1.2,10166,24019,0,0,4,7205
qftentangled_indep_qiskit_88,1.3,10166,24019,0,0,4,7806
qftentangled_indep_qiskit_88,1.5,10166,24019,0,0,4,9007
qftentangled_indep_qiskit_88,2.0,10166,24019,0,0,4,12009
qftentangled_indep_qiskit_107,1.0,222,35302,0,0,4,8825
qftentangled_indep_qiskit_107,1.1,222,35302,0,0,4,9708
qftentangled_indep_qiskit_107,1.2,222,35302,0,0,4,10590
qftentangled_indep_qiskit_107,1.3,222,35302,0,0,4,11473
qftentangled_indep_qiskit_107,1.5,222,35302,0,0,4,13238
qftentangled_indep_qiskit_107,2.0,222,35302,0,0,4,17651
qft_indep_qiskit_65,1.0,4901,12867,0,0,4,3216
qft_indep_qiskit_65,1.1,4901,12867,0,0,4,3538
qft_indep_qiskit_65,1.2,4901,12867,0,0,4,3860
qft_indep_qiskit_65,1.3,4901,12867,0,0,4,4181
qft_indep_qiskit_65,1.5,4901,12867,0,0,4,4825
qft_indep_qiskit_65,2.0,4901,12867,0,0,4,6433
qwalk-noancilla_indep_qiskit_7,1.0,6,8495,0,0,4,2123
qwalk-noancilla_indep_qiskit_7,1.1,6,8495,0,0,4,2336
qwalk-noancilla_indep_qiskit_7,1.2,6,8495,0,0,4,2548
qwalk-noancilla_indep_qiskit_7,1.3,6,8495,0,0,4,2760
qwalk-noancilla_indep_qiskit_7,1.5,6,8495,0,0,4,3185
qwalk-noancilla_indep_qiskit_7,2.0,6,8495,0,0,4,4247
qft_indep_qiskit_59,1.0,3830,10617,0,0,4,2654
qft_indep_qiskit_59,1.1,3830,10617,0,0,4,2919
qft_indep_qiskit_59,1.2,3830,10617,0,0,4,3185
qft_indep_qiskit_59,1.3,3830,10617,0,0,4,3450
qft_indep_qiskit_59,1.5,3830,10617,0,0,4,3981
qft_indep_qiskit_59,2.0,3830,10617,0,0,4,5308
wstate_indep_qiskit_100,1.0,768,1587,0,0,4,396
wstate_indep_qiskit_100,1.1,768,1587,0,0,4,436
wstate_indep_qiskit_100,1.2,768,1587,0,0,4,476
wstate_indep_qiskit_100,1.3,768,1587,0,0,4,515
wstate_indep_qiskit_100,1.5,768,1587,0,0,4,595
wstate_indep_qiskit_100,2.0,768,1587,0,0,4,793
qpeexact_indep_qiskit_91,1.0,155,25202,0,0,4,6300
qpeexact_indep_qiskit_91,1.1,155,25202,0,0,4,6930
qpeexact_indep_qiskit_91,1.2,155,25202,0,0,4,7560
qpeexact_indep_qiskit_91,1.3,155,25202,0,0,4,8190
qpeexact_indep_qiskit_91,1.5,155,25202,0,0,4,9450
qpeexact_indep_qiskit_91,2.0,155,25202,0,0,4,12601
qpeexact_indep_qiskit_85,1.0,145,22010,0,0,4,5502
qpeexact_indep_qiskit_85,1.1,145,22010,0,0,4,6052
qpeexact_indep_qiskit_85,1.2,145,22010,0,0,4,6603
qpeexact_indep_qiskit_85,1.3,145,22010,0,0,4,7153
qpeexact_indep_qiskit_85,1.5,145,22010,0,0,4,8253
qpeexact_indep_qiskit_85,2.0,145,22010,0,0,4,11005
wstate_indep_qiskit_114,1.0,277,1811,0,0,4,452
wstate_indep_qiskit_114,1.1,277,1811,0,0,4,498
wstate_indep_qiskit_114,1.2,277,1811,0,0,4,543
wstate_indep_qiskit_114,1.3,277,1811,0,0,4,588
wstate_indep_qiskit_114,1.5,277,1811,0,0,4,679
wstate_indep_qiskit_114,2.0,277,1811,0,0,4,905
wstate_indep_qiskit_128,1.0,293,2035,0,0,4,508
wstate_indep_qiskit_128,1.1,293,2035,0,0,4,559
wstate_indep_qiskit_128,1.2,293,2035,0,0,4,610
wstate_indep_qiskit_128,1.3,293,2035,0,0,4,661
wstate_indep_qiskit_128,1.5,293,2035,0,0,4,763
wstate_indep_qiskit_128,2.0,293,2035,0,0,4,1017
twolocalrandom_indep_qiskit_110,1.0,189,108570,0,0,4,27142
twolocalrandom_indep_qiskit_110,1.1,189,108570,0,0,4,29856
twolocalrandom_indep_qiskit_110,1.2,189,108570,0,0,4,32571
twolocalrandom_indep_qiskit_110,1.3,189,108570,0,0,4,35285
twolocalrandom_indep_qiskit_110,1.5,189,108570,0,0,4,40713
twolocalrandom_indep_qiskit_110,2.0,189,108570,0,0,4,54285
qpeexact_indep_qiskit_52,1.0,39,8312,0,0,4,2078
qpeexact_indep_qiskit_52,1.1,39,8312,0,0,4,2285
qpeexact_indep_qiskit_52,1.2,39,8312,0,0,4,2493
qpeexact_indep_qiskit_52,1.3,39,8312,0,0,4,2701
qpeexact_indep_qiskit_52,1.5,39,8312,0,0,4,3117
qpeexact_indep_qiskit_52,2.0,39,8312,0,0,4,4156
twolocalrandom_indep_qiskit_104,1.0,78,97032,0,0,4,24258
twolocalrandom_indep_qiskit_104,1.1,78,97032,0,0,4,26683
twolocalrandom_indep_qiskit_104,1.2,78,97032,0,0,4,29109
twolocalrandom_indep_qiskit_104,1.3,78,97032,0,0,4,31535
twolocalrandom_indep_qiskit_104,1.5,78,97032,0,0,4,36387
twolocalrandom_indep_qiskit_104,2.0,78,97032,0,0,4,48516
qpeexact_indep_qiskit_46,1.0,77,6524,0,0,4,1631
qpeexact_indep_qiskit_46,1.1,77,6524,0,0,4,1794
qpeexact_indep_qiskit_46,1.2,77,6524,0,0,4,1957
qpeexact_indep_qiskit_46,1.3,77,6524,0,0,4,2120
qpeexact_indep_qiskit_46,1.5,77,6524,0,0,4,2446
qpeexact_indep_qiskit_46,2.0,77,6524,0,0,4,3262
twolocalrandom_indep_qiskit_32,1.0,24,9120,0,0,4,2280
twolocalrandom_indep_qiskit_32,1.1,24,9120,0,0,4,2508
twolocalrandom_indep_qiskit_32,1.2,24,9120,0,0,4,2736
twolocalrandom_indep_qiskit_32,1.3,24,9120,0,0,4,2964
twolocalrandom_indep_qiskit_32,1.5,24,9120,0,0,4,3420
twolocalrandom_indep_qiskit_32,2.0,24,9120,0,0,4,4560
twolocalrandom_indep_qiskit_26,1.0,42,6006,0,0,4,1501
twolocalrandom_indep_qiskit_26,1.1,42,6006,0,0,4,1651
twolocalrandom_indep_qiskit_26,1.2,42,6006,0,0,4,1801
twolocalrandom_indep_qiskit_26,1.3,42,6006,0,0,4,1951
