circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,partitions_checked,search_completed,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
qwalk-noancilla_indep_qiskit_5,5,1771,1766,5,1502,3,1.0,2,1863.0,1490.0,0.7997852925389157,0.06476116180419922,0.27011680603027344,TIMED-QUBIT-LEVEL,243,True,"[2, 2, 1]","[2, 2, 2]","[5, 0, 0]","[3, 1, 1]"
qwalk-noancilla_indep_qiskit_5,5,1771,1766,5,1502,3,1.1,2,1863.0,1490.0,0.7997852925389157,0.06484413146972656,0.24935197830200195,TIMED-QUBIT-LEVEL,243,True,"[2, 2, 1]","[2, 2, 2]","[5, 0, 0]","[3, 1, 1]"
qwalk-noancilla_indep_qiskit_5,5,1771,1766,5,1502,3,1.2,2,1863.0,1490.0,0.7997852925389157,0.06589198112487793,0.2426891326904297,TIMED-QUBIT-LEVEL,243,True,"[2, 2, 1]","[2, 2, 2]","[5, 0, 0]","[3, 1, 1]"
qwalk-noancilla_indep_qiskit_5,5,1771,1766,5,1502,3,1.3,3,1202.0,1870.0,1.5557404326123128,0.15620827674865723,0.23685622215270996,TIMED-QUBIT-LEVEL,243,True,"[3, 2, 0]","[3, 3, 2]","[5, 0, 0]","[3, 1, 1]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.0,1,62.0,60.0,0.967741935483871,0.0003151893615722656,0.0004718303680419922,TIMED-QUBIT-LEVEL,27,True,"[1, 1, 1]","[1, 1, 1]","[3, 0, 0]","[1, 1, 1]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.1,2,41.0,60.0,1.4634146341463414,0.0006248950958251953,0.0004918575286865234,TIMED-QUBIT-LEVEL,27,True,"[2, 1, 0]","[2, 2, 2]","[3, 0, 0]","[2, 1, 0]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.2,2,41.0,60.0,1.4634146341463414,0.0005948543548583984,0.0004878044128417969,TIMED-QUBIT-LEVEL,27,True,"[2, 1, 0]","[2, 2, 2]","[3, 0, 0]","[2, 1, 0]"
qaoa_indep_qiskit_3,3,51,48,3,42,3,1.3,2,41.0,60.0,1.4634146341463414,0.0006020069122314453,0.0004887580871582031,TIMED-QUBIT-LEVEL,27,True,"[2, 1, 0]","[2, 2, 2]","[3, 0, 0]","[2, 1, 0]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.0,1,42.0,40.0,0.9523809523809523,0.00032591819763183594,0.00028705596923828125,TIMED-QUBIT-LEVEL,27,True,"[1, 1, 1]","[1, 1, 1]","[3, 0, 0]","[1, 1, 1]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.1,2,21.0,30.0,1.4285714285714286,0.0005059242248535156,0.00029277801513671875,TIMED-QUBIT-LEVEL,27,True,"[2, 1, 0]","[2, 2, 1]","[3, 0, 0]","[2, 1, 0]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.2,2,21.0,30.0,1.4285714285714286,0.00048804283142089844,0.00028967857360839844,TIMED-QUBIT-LEVEL,27,True,"[2, 1, 0]","[2, 2, 1]","[3, 0, 0]","[2, 1, 0]"
wstate_indep_qiskit_3,3,35,32,3,28,3,1.3,2,21.0,30.0,1.4285714285714286,0.00043201446533203125,0.00026702880859375,TIMED-QUBIT-LEVEL,27,True,"[2, 1, 0]","[2, 2, 1]","[3, 0, 0]","[2, 1, 0]"
qpeinexact_indep_qiskit_3,3,34,32,2,27,3,1.0,1,41.0,40.0,0.975609756097561,0.00017595291137695312,0.0002319812774658203,TIMED-QUBIT-LEVEL,27,True,"[1, 1, 1]","[1, 1, 1]","[2, 0, 0]","[1, 1, 0]"
qpeinexact_indep_qiskit_3,3,34,32,2,27,3,1.1,2,20.0,40.0,2.0,0.0004169940948486328,0.0002510547637939453,TIMED-QUBIT-LEVEL,27,True,"[2, 1, 0]","[2, 2, 1]","[2, 0, 0]","[1, 1, 0]"
