circuit,num_qubits,num_nodes,num_quantum_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts
random_indep_qiskit_9,9,516,507,437,3,1.0,3,39.0,51.0,1.3076923076923077,0.42272210121154785,0.034503936767578125,QUBIT-LEVEL,"[3, 3, 3]","[3, 3, 3]"
random_indep_qiskit_9,9,516,507,437,3,1.1,4,36.0,78.0,2.1666666666666665,2.663785934448242,0.04588603973388672,QUBIT-LEVEL,"[4, 4, 1]","[4, 4, 4]"
random_indep_qiskit_9,9,516,507,437,3,1.2,4,36.0,78.0,2.1666666666666665,2.6369779109954834,0.03043079376220703,QUBIT-LEVEL,"[4, 4, 1]","[4, 4, 4]"
tsp_indep_qiskit_4,4,122,118,103,3,1.0,2,7.0,25.0,3.5714285714285716,0.003441333770751953,0.002048015594482422,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
tsp_indep_qiskit_4,4,122,118,103,3,1.1,2,7.0,25.0,3.5714285714285716,0.003392934799194336,0.0019378662109375,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
tsp_indep_qiskit_4,4,122,118,103,3,1.2,2,7.0,25.0,3.5714285714285716,0.0035431385040283203,0.0019237995147705078,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
qaoa_indep_qiskit_3,3,51,48,42,3,1.0,1,8.0,8.0,1.0,0.0004010200500488281,0.00047779083251953125,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]"
qaoa_indep_qiskit_3,3,51,48,42,3,1.1,2,5.0,16.0,3.2,0.0007748603820800781,0.00036716461181640625,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
qaoa_indep_qiskit_3,3,51,48,42,3,1.2,2,5.0,16.0,3.2,0.0007560253143310547,0.0003609657287597656,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
twolocalrandom_indep_qiskit_6,6,306,300,255,3,1.0,2,40.0,23.0,0.575,0.014009952545166016,0.014289140701293945,QUBIT-LEVEL,"[2, 2, 2]","[2, 2, 2]"
twolocalrandom_indep_qiskit_6,6,306,300,255,3,1.1,3,30.0,56.0,1.8666666666666667,0.07070779800415039,0.012122869491577148,QUBIT-LEVEL,"[3, 3, 0]","[3, 3, 3]"
twolocalrandom_indep_qiskit_6,6,306,300,255,3,1.2,3,30.0,56.0,1.8666666666666667,0.07010293006896973,0.011569738388061523,QUBIT-LEVEL,"[3, 3, 0]","[3, 3, 3]"
qpeinexact_indep_qiskit_12,12,472,461,389,3,1.0,4,55.0,34.0,0.6181818181818182,8.149270057678223,0.03297996520996094,QUBIT-LEVEL,"[4, 4, 4]","[4, 4, 4]"
qpeinexact_indep_qiskit_12,12,472,461,389,3,1.1,5,51.0,46.0,0.9019607843137255,53.48271322250366,0.029180049896240234,QUBIT-LEVEL,"[5, 5, 2]","[5, 5, 5]"
qpeinexact_indep_qiskit_12,12,472,461,389,3,1.2,5,51.0,46.0,0.9019607843137255,53.47588872909546,0.029808998107910156,QUBIT-LEVEL,"[5, 5, 2]","[5, 5, 5]"
pricingcall_indep_qiskit_7,7,316,309,258,3,1.0,3,20.0,48.0,2.4,0.1554698944091797,0.011099100112915039,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
pricingcall_indep_qiskit_7,7,316,309,258,3,1.1,3,20.0,48.0,2.4,0.1541292667388916,0.011471033096313477,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
pricingcall_indep_qiskit_7,7,316,309,258,3,1.2,3,20.0,48.0,2.4,0.15296387672424316,0.011609792709350586,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
qaoa_indep_qiskit_7,7,119,112,98,3,1.0,3,8.0,16.0,2.0,0.05871915817260742,0.0016858577728271484,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
qaoa_indep_qiskit_7,7,119,112,98,3,1.1,3,8.0,16.0,2.0,0.05963921546936035,0.0015988349914550781,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
qaoa_indep_qiskit_7,7,119,112,98,3,1.2,3,8.0,16.0,2.0,0.058650970458984375,0.0015780925750732422,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
portfolioqaoa_indep_qiskit_10,10,870,860,725,3,1.0,4,102.0,106.0,1.0392156862745099,8.82590365409851,0.06904816627502441,QUBIT-LEVEL,"[4, 4, 2]","[4, 4, 4]"
portfolioqaoa_indep_qiskit_10,10,870,860,725,3,1.1,4,102.0,106.0,1.0392156862745099,8.804068803787231,0.0701911449432373,QUBIT-LEVEL,"[4, 4, 2]","[4, 4, 4]"
portfolioqaoa_indep_qiskit_10,10,870,860,725,3,1.2,4,102.0,106.0,1.0392156862745099,8.835449934005737,0.06857895851135254,QUBIT-LEVEL,"[4, 4, 2]","[4, 4, 4]"
qpeexact_indep_qiskit_9,9,268,260,220,3,1.0,3,32.0,23.0,0.71875,0.2315971851348877,0.009852170944213867,QUBIT-LEVEL,"[3, 3, 3]","[3, 3, 3]"
qpeexact_indep_qiskit_9,9,268,260,220,3,1.1,4,27.0,42.0,1.5555555555555556,1.362968921661377,0.008273124694824219,QUBIT-LEVEL,"[4, 4, 1]","[4, 4, 4]"
qpeexact_indep_qiskit_9,9,268,260,220,3,1.2,4,27.0,42.0,1.5555555555555556,1.3535420894622803,0.008043050765991211,QUBIT-LEVEL,"[4, 4, 1]","[4, 4, 4]"
wstate_indep_qiskit_3,3,35,32,28,3,1.0,1,6.0,7.0,1.1666666666666667,0.0005381107330322266,0.00030303001403808594,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]"
wstate_indep_qiskit_3,3,35,32,28,3,1.1,2,3.0,13.0,4.333333333333333,0.0007171630859375,0.00021409988403320312,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
wstate_indep_qiskit_3,3,35,32,28,3,1.2,2,3.0,13.0,4.333333333333333,0.0006086826324462891,0.00021409988403320312,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
qpeinexact_indep_qiskit_3,3,34,32,27,3,1.0,1,5.0,6.0,1.2,0.0002970695495605469,0.0002548694610595703,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]"
qpeinexact_indep_qiskit_3,3,34,32,27,3,1.1,2,2.0,11.0,5.5,0.0005807876586914062,0.0002028942108154297,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
qpeinexact_indep_qiskit_3,3,34,32,27,3,1.2,2,2.0,11.0,5.5,0.0005691051483154297,0.0002601146697998047,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
qpeexact_indep_qiskit_8,8,216,209,177,3,1.0,3,25.0,22.0,0.88,0.17455792427062988,0.0062139034271240234,QUBIT-LEVEL,"[3, 3, 2]","[3, 3, 3]"
qpeexact_indep_qiskit_8,8,216,209,177,3,1.1,3,25.0,22.0,0.88,0.17200207710266113,0.006296873092651367,QUBIT-LEVEL,"[3, 3, 2]","[3, 3, 3]"
qpeexact_indep_qiskit_8,8,216,209,177,3,1.2,4,19.0,37.0,1.9473684210526316,0.48168015480041504,0.004819154739379883,QUBIT-LEVEL,"[4, 4, 0]","[4, 4, 4]"
qaoa_indep_qiskit_6,6,102,96,84,3,1.0,2,10.0,12.0,1.2,0.0056917667388916016,0.0016980171203613281,QUBIT-LEVEL,"[2, 2, 2]","[2, 2, 2]"
qaoa_indep_qiskit_6,6,102,96,84,3,1.1,3,7.0,11.0,1.5714285714285714,0.024712085723876953,0.0009169578552246094,QUBIT-LEVEL,"[3, 3, 0]","[3, 3, 3]"
qaoa_indep_qiskit_6,6,102,96,84,3,1.2,3,7.0,11.0,1.5714285714285714,0.024458885192871094,0.0008869171142578125,QUBIT-LEVEL,"[3, 3, 0]","[3, 3, 3]"
twolocalrandom_indep_qiskit_7,7,420,413,350,3,1.0,3,49.0,55.0,1.1224489795918366,0.20693111419677734,0.01980900764465332,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
twolocalrandom_indep_qiskit_7,7,420,413,350,3,1.1,3,49.0,55.0,1.1224489795918366,0.20549488067626953,0.018939733505249023,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
twolocalrandom_indep_qiskit_7,7,420,413,350,3,1.2,3,49.0,55.0,1.1224489795918366,0.20023703575134277,0.018737316131591797,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
