workload_file,origin,n_qubits,k_partitions,best_method,best_cost
ae_indep_qiskit_78.qasm,MQTBench,78,4,greedy_hdh,2340
ae_indep_qiskit_79.qasm,MQTBench,79,2,greedy_hdh,1600
ae_indep_qiskit_79.qasm,MQTBench,79,3,greedy_hdh,2133
ae_indep_qiskit_79.qasm,MQTBench,79,4,greedy_hdh,2400
ae_indep_qiskit_80.qasm,MQTBench,80,2,greedy_hdh,1640
ae_indep_qiskit_80.qasm,MQTBench,80,3,greedy_hdh,2187
ae_indep_qiskit_80.qasm,MQTBench,80,4,greedy_hdh,2460
ae_indep_qiskit_81.qasm,MQTBench,81,2,greedy_hdh,1681
ae_indep_qiskit_81.qasm,MQTBench,81,3,greedy_hdh,2241
ae_indep_qiskit_81.qasm,MQTBench,81,4,greedy_hdh,2520
ae_indep_qiskit_82.qasm,MQTBench,82,2,greedy_hdh,1722
ae_indep_qiskit_82.qasm,MQTBench,82,3,greedy_hdh,2296
ae_indep_qiskit_82.qasm,MQTBench,82,4,greedy_hdh,2581
ae_indep_qiskit_83.qasm,MQTBench,83,2,greedy_hdh,1764
ae_indep_qiskit_83.qasm,MQTBench,83,3,greedy_hdh,2351
ae_indep_qiskit_83.qasm,MQTBench,83,4,greedy_hdh,2645
ae_indep_qiskit_84.qasm,MQTBench,84,2,greedy_hdh,1806
ae_indep_qiskit_84.qasm,MQTBench,84,3,greedy_hdh,2408
ae_indep_qiskit_84.qasm,MQTBench,84,4,greedy_hdh,2709
ae_indep_qiskit_85.qasm,MQTBench,85,2,greedy_hdh,1849
ae_indep_qiskit_85.qasm,MQTBench,85,3,greedy_hdh,2465
ae_indep_qiskit_85.qasm,MQTBench,85,4,greedy_hdh,2772
ae_indep_qiskit_86.qasm,MQTBench,86,2,greedy_hdh,1892
ae_indep_qiskit_86.qasm,MQTBench,86,3,greedy_hdh,2522
ae_indep_qiskit_86.qasm,MQTBench,86,4,greedy_hdh,2838
ae_indep_qiskit_87.qasm,MQTBench,87,2,greedy_hdh,1936
ae_indep_qiskit_87.qasm,MQTBench,87,3,greedy_hdh,2581
ae_indep_qiskit_87.qasm,MQTBench,87,4,greedy_hdh,2904
ae_indep_qiskit_88.qasm,MQTBench,88,2,greedy_hdh,1980
ae_indep_qiskit_88.qasm,MQTBench,88,3,greedy_hdh,2638
ae_indep_qiskit_88.qasm,MQTBench,88,4,greedy_hdh,2970
ae_indep_qiskit_89.qasm,MQTBench,89,2,greedy_hdh,2025
ae_indep_qiskit_89.qasm,MQTBench,89,3,greedy_hdh,2699
ae_indep_qiskit_89.qasm,MQTBench,89,4,greedy_hdh,3036
ae_indep_qiskit_90.qasm,MQTBench,90,2,greedy_hdh,2070
ae_indep_qiskit_90.qasm,MQTBench,90,3,greedy_hdh,2760
ae_indep_qiskit_90.qasm,MQTBench,90,4,greedy_hdh,3103
ae_indep_qiskit_91.qasm,MQTBench,91,2,greedy_hdh,2116
ae_indep_qiskit_91.qasm,MQTBench,91,3,greedy_hdh,2819
ae_indep_qiskit_91.qasm,MQTBench,91,4,greedy_hdh,3174
ae_indep_qiskit_92.qasm,MQTBench,92,2,greedy_hdh,2162
ae_indep_qiskit_92.qasm,MQTBench,92,3,greedy_hdh,2883
ae_indep_qiskit_92.qasm,MQTBench,92,4,greedy_hdh,3243
ae_indep_qiskit_93.qasm,MQTBench,93,2,greedy_hdh,2209
ae_indep_qiskit_93.qasm,MQTBench,93,3,greedy_hdh,2945
ae_indep_qiskit_93.qasm,MQTBench,93,4,greedy_hdh,3312
ae_indep_qiskit_94.qasm,MQTBench,94,2,greedy_hdh,2256
ae_indep_qiskit_94.qasm,MQTBench,94,3,greedy_hdh,3008
ae_indep_qiskit_94.qasm,MQTBench,94,4,greedy_hdh,3382
ae_indep_qiskit_95.qasm,MQTBench,95,2,greedy_hdh,2304
ae_indep_qiskit_95.qasm,MQTBench,95,3,greedy_hdh,3072
ae_indep_qiskit_95.qasm,MQTBench,95,4,greedy_hdh,3456
ae_indep_qiskit_96.qasm,MQTBench,96,2,greedy_hdh,2352
ae_indep_qiskit_96.qasm,MQTBench,96,3,greedy_hdh,3136
ae_indep_qiskit_96.qasm,MQTBench,96,4,greedy_hdh,3528
ae_indep_qiskit_97.qasm,MQTBench,97,2,greedy_hdh,2401
ae_indep_qiskit_97.qasm,MQTBench,97,3,greedy_hdh,3199
ae_indep_qiskit_97.qasm,MQTBench,97,4,greedy_hdh,3600
ae_indep_qiskit_98.qasm,MQTBench,98,2,greedy_hdh,2450
ae_indep_qiskit_98.qasm,MQTBench,98,3,greedy_hdh,3267
ae_indep_qiskit_98.qasm,MQTBench,98,4,greedy_hdh,3675
ae_indep_qiskit_99.qasm,MQTBench,99,2,greedy_hdh,2500
ae_indep_qiskit_99.qasm,MQTBench,99,3,greedy_hdh,3333
ae_indep_qiskit_99.qasm,MQTBench,99,4,greedy_hdh,3750
dj_indep_qiskit_100.qasm,MQTBench,100,2,greedy_hdh,50
dj_indep_qiskit_100.qasm,MQTBench,100,3,greedy_hdh,66
dj_indep_qiskit_100.qasm,MQTBench,100,4,greedy_hdh,75
dj_indep_qiskit_101.qasm,MQTBench,101,2,greedy_hdh,50
dj_indep_qiskit_101.qasm,MQTBench,101,3,greedy_hdh,67
dj_indep_qiskit_101.qasm,MQTBench,101,4,greedy_hdh,75
dj_indep_qiskit_102.qasm,MQTBench,102,2,greedy_hdh,51
dj_indep_qiskit_102.qasm,MQTBench,102,3,greedy_hdh,68
dj_indep_qiskit_102.qasm,MQTBench,102,4,greedy_hdh,76
dj_indep_qiskit_103.qasm,MQTBench,103,2,greedy_hdh,51
dj_indep_qiskit_103.qasm,MQTBench,103,3,greedy_hdh,68
dj_indep_qiskit_103.qasm,MQTBench,103,4,greedy_hdh,77
dj_indep_qiskit_104.qasm,MQTBench,104,2,greedy_hdh,52
dj_indep_qiskit_104.qasm,MQTBench,104,3,greedy_hdh,69
dj_indep_qiskit_104.qasm,MQTBench,104,4,greedy_hdh,78
dj_indep_qiskit_105.qasm,MQTBench,105,2,greedy_hdh,52
dj_indep_qiskit_105.qasm,MQTBench,105,3,greedy_hdh,70
dj_indep_qiskit_105.qasm,MQTBench,105,4,greedy_hdh,78
dj_indep_qiskit_106.qasm,MQTBench,106,2,greedy_hdh,53
dj_indep_qiskit_106.qasm,MQTBench,106,3,greedy_hdh,70
dj_indep_qiskit_106.qasm,MQTBench,106,4,greedy_hdh,79
dj_indep_qiskit_107.qasm,MQTBench,107,2,greedy_hdh,53
dj_indep_qiskit_107.qasm,MQTBench,107,3,greedy_hdh,71
dj_indep_qiskit_107.qasm,MQTBench,107,4,greedy_hdh,80
dj_indep_qiskit_108.qasm,MQTBench,108,2,greedy_hdh,54
dj_indep_qiskit_108.qasm,MQTBench,108,3,greedy_hdh,72
dj_indep_qiskit_108.qasm,MQTBench,108,4,greedy_hdh,81
dj_indep_qiskit_109.qasm,MQTBench,109,2,greedy_hdh,54
dj_indep_qiskit_109.qasm,MQTBench,109,3,greedy_hdh,72
dj_indep_qiskit_109.qasm,MQTBench,109,4,greedy_hdh,81
dj_indep_qiskit_110.qasm,MQTBench,110,2,greedy_hdh,55
dj_indep_qiskit_110.qasm,MQTBench,110,3,greedy_hdh,73
dj_indep_qiskit_110.qasm,MQTBench,110,4,greedy_hdh,82
dj_indep_qiskit_111.qasm,MQTBench,111,2,greedy_hdh,55
dj_indep_qiskit_111.qasm,MQTBench,111,3,greedy_hdh,74
dj_indep_qiskit_111.qasm,MQTBench,111,4,greedy_hdh,83
dj_indep_qiskit_112.qasm,MQTBench,112,2,greedy_hdh,56
dj_indep_qiskit_112.qasm,MQTBench,112,3,greedy_hdh,74
dj_indep_qiskit_112.qasm,MQTBench,112,4,greedy_hdh,84
