workload_file,origin,n_qubits,k_partitions,best_method,best_cost
graphstate_indep_qiskit_15.qasm,MQTBench,15,4,greedy_hdh,9
graphstate_indep_qiskit_16.qasm,MQTBench,16,2,greedy_hdh,2
graphstate_indep_qiskit_16.qasm,MQTBench,16,3,greedy_hdh,7
graphstate_indep_qiskit_16.qasm,MQTBench,16,4,greedy_hdh,7
graphstate_indep_qiskit_17.qasm,MQTBench,17,2,greedy_hdh,6
graphstate_indep_qiskit_17.qasm,MQTBench,17,3,greedy_hdh,8
graphstate_indep_qiskit_17.qasm,MQTBench,17,4,greedy_hdh,9
graphstate_indep_qiskit_18.qasm,MQTBench,18,2,greedy_hdh,6
graphstate_indep_qiskit_18.qasm,MQTBench,18,3,greedy_hdh,8
graphstate_indep_qiskit_18.qasm,MQTBench,18,4,greedy_hdh,9
graphstate_indep_qiskit_19.qasm,MQTBench,19,2,greedy_hdh,8
graphstate_indep_qiskit_19.qasm,MQTBench,19,3,greedy_hdh,11
graphstate_indep_qiskit_19.qasm,MQTBench,19,4,greedy_hdh,12
graphstate_indep_qiskit_20.qasm,MQTBench,20,2,greedy_hdh,6
graphstate_indep_qiskit_20.qasm,MQTBench,20,3,greedy_hdh,11
graphstate_indep_qiskit_20.qasm,MQTBench,20,4,greedy_hdh,13
groundstate_large_indep_qiskit_14.qasm,MQTBench,14,2,greedy_hdh,98
groundstate_large_indep_qiskit_14.qasm,MQTBench,14,3,greedy_hdh,130
groundstate_large_indep_qiskit_14.qasm,MQTBench,14,4,greedy_hdh,144
groundstate_medium_indep_qiskit_12.qasm,MQTBench,12,2,greedy_hdh,72
groundstate_medium_indep_qiskit_12.qasm,MQTBench,12,3,greedy_hdh,96
groundstate_medium_indep_qiskit_12.qasm,MQTBench,12,4,greedy_hdh,108
grover-noancilla_indep_qiskit_11.qasm,MQTBench,11,2,greedy_hdh,37200
grover-noancilla_indep_qiskit_11.qasm,MQTBench,11,3,greedy_hdh,57275
grover-noancilla_indep_qiskit_11.qasm,MQTBench,11,4,greedy_hdh,52850
grover-v-chain_indep_qiskit_11.qasm,MQTBench,11,2,greedy_hdh,1432
grover-v-chain_indep_qiskit_11.qasm,MQTBench,11,3,greedy_hdh,1120
grover-v-chain_indep_qiskit_11.qasm,MQTBench,11,4,greedy_hdh,1584
grover-v-chain_indep_qiskit_13.qasm,MQTBench,13,2,greedy_hdh,4380
grover-v-chain_indep_qiskit_13.qasm,MQTBench,13,3,greedy_hdh,2688
grover-v-chain_indep_qiskit_13.qasm,MQTBench,13,4,greedy_hdh,5460
grover-v-chain_indep_qiskit_15.qasm,MQTBench,15,2,greedy_hdh,4114
grover-v-chain_indep_qiskit_15.qasm,MQTBench,15,3,greedy_hdh,9707
grover-v-chain_indep_qiskit_15.qasm,MQTBench,15,4,greedy_hdh,15198
grover-v-chain_indep_qiskit_17.qasm,MQTBench,17,2,greedy_hdh,42750
grover-v-chain_indep_qiskit_17.qasm,MQTBench,17,3,greedy_hdh,34050
grover-v-chain_indep_qiskit_17.qasm,MQTBench,17,4,greedy_hdh,35400
portfolioqaoa_indep_qiskit_11.qasm,MQTBench,11,2,greedy_hdh,90
portfolioqaoa_indep_qiskit_11.qasm,MQTBench,11,3,greedy_hdh,120
portfolioqaoa_indep_qiskit_11.qasm,MQTBench,11,4,greedy_hdh,135
portfolioqaoa_indep_qiskit_12.qasm,MQTBench,12,2,greedy_hdh,108
portfolioqaoa_indep_qiskit_12.qasm,MQTBench,12,3,greedy_hdh,144
portfolioqaoa_indep_qiskit_12.qasm,MQTBench,12,4,greedy_hdh,162
portfolioqaoa_indep_qiskit_13.qasm,MQTBench,13,2,greedy_hdh,126
portfolioqaoa_indep_qiskit_13.qasm,MQTBench,13,3,greedy_hdh,165
portfolioqaoa_indep_qiskit_13.qasm,MQTBench,13,4,greedy_hdh,180
portfolioqaoa_indep_qiskit_14.qasm,MQTBench,14,2,greedy_hdh,147
portfolioqaoa_indep_qiskit_14.qasm,MQTBench,14,3,greedy_hdh,195
portfolioqaoa_indep_qiskit_14.qasm,MQTBench,14,4,greedy_hdh,216
portfolioqaoa_indep_qiskit_15.qasm,MQTBench,15,2,greedy_hdh,168
portfolioqaoa_indep_qiskit_15.qasm,MQTBench,15,3,greedy_hdh,225
portfolioqaoa_indep_qiskit_15.qasm,MQTBench,15,4,greedy_hdh,252
portfolioqaoa_indep_qiskit_16.qasm,MQTBench,16,2,greedy_hdh,192
portfolioqaoa_indep_qiskit_16.qasm,MQTBench,16,3,greedy_hdh,252
portfolioqaoa_indep_qiskit_16.qasm,MQTBench,16,4,greedy_hdh,288
portfolioqaoa_indep_qiskit_17.qasm,MQTBench,17,2,greedy_hdh,216
portfolioqaoa_indep_qiskit_17.qasm,MQTBench,17,3,greedy_hdh,288
portfolioqaoa_indep_qiskit_17.qasm,MQTBench,17,4,greedy_hdh,315
portfoliovqe_indep_qiskit_11.qasm,MQTBench,11,2,greedy_hdh,90
portfoliovqe_indep_qiskit_11.qasm,MQTBench,11,3,greedy_hdh,120
portfoliovqe_indep_qiskit_11.qasm,MQTBench,11,4,greedy_hdh,135
portfoliovqe_indep_qiskit_12.qasm,MQTBench,12,2,greedy_hdh,108
portfoliovqe_indep_qiskit_12.qasm,MQTBench,12,3,greedy_hdh,144
portfoliovqe_indep_qiskit_12.qasm,MQTBench,12,4,greedy_hdh,162
portfoliovqe_indep_qiskit_13.qasm,MQTBench,13,2,greedy_hdh,126
portfoliovqe_indep_qiskit_13.qasm,MQTBench,13,3,greedy_hdh,165
portfoliovqe_indep_qiskit_13.qasm,MQTBench,13,4,greedy_hdh,180
portfoliovqe_indep_qiskit_14.qasm,MQTBench,14,2,greedy_hdh,147
portfoliovqe_indep_qiskit_14.qasm,MQTBench,14,3,greedy_hdh,195
portfoliovqe_indep_qiskit_14.qasm,MQTBench,14,4,greedy_hdh,216
portfoliovqe_indep_qiskit_15.qasm,MQTBench,15,2,greedy_hdh,168
portfoliovqe_indep_qiskit_15.qasm,MQTBench,15,3,greedy_hdh,225
portfoliovqe_indep_qiskit_15.qasm,MQTBench,15,4,greedy_hdh,252
portfoliovqe_indep_qiskit_16.qasm,MQTBench,16,2,greedy_hdh,192
portfoliovqe_indep_qiskit_16.qasm,MQTBench,16,3,greedy_hdh,252
portfoliovqe_indep_qiskit_16.qasm,MQTBench,16,4,greedy_hdh,288
portfoliovqe_indep_qiskit_17.qasm,MQTBench,17,2,greedy_hdh,216
portfoliovqe_indep_qiskit_17.qasm,MQTBench,17,3,greedy_hdh,288
portfoliovqe_indep_qiskit_17.qasm,MQTBench,17,4,greedy_hdh,315
portfoliovqe_indep_qiskit_18.qasm,MQTBench,18,2,greedy_hdh,243
portfoliovqe_indep_qiskit_18.qasm,MQTBench,18,3,greedy_hdh,324
portfoliovqe_indep_qiskit_18.qasm,MQTBench,18,4,greedy_hdh,360
pricingcall_indep_qiskit_11.qasm,MQTBench,11,2,greedy_hdh,34
pricingcall_indep_qiskit_11.qasm,MQTBench,11,3,greedy_hdh,65
pricingcall_indep_qiskit_11.qasm,MQTBench,11,4,greedy_hdh,46
pricingcall_indep_qiskit_13.qasm,MQTBench,13,2,greedy_hdh,51
pricingcall_indep_qiskit_13.qasm,MQTBench,13,3,greedy_hdh,76
pricingcall_indep_qiskit_13.qasm,MQTBench,13,4,greedy_hdh,75
pricingcall_indep_qiskit_15.qasm,MQTBench,15,2,greedy_hdh,104
pricingcall_indep_qiskit_15.qasm,MQTBench,15,3,greedy_hdh,126
pricingcall_indep_qiskit_15.qasm,MQTBench,15,4,greedy_hdh,131
pricingcall_indep_qiskit_17.qasm,MQTBench,17,2,greedy_hdh,161
pricingcall_indep_qiskit_17.qasm,MQTBench,17,3,greedy_hdh,229
pricingcall_indep_qiskit_17.qasm,MQTBench,17,4,greedy_hdh,259
pricingcall_indep_qiskit_19.qasm,MQTBench,19,2,greedy_hdh,299
pricingcall_indep_qiskit_19.qasm,MQTBench,19,3,greedy_hdh,521
pricingcall_indep_qiskit_19.qasm,MQTBench,19,4,greedy_hdh,466
pricingput_indep_qiskit_11.qasm,MQTBench,11,2,greedy_hdh,34
pricingput_indep_qiskit_11.qasm,MQTBench,11,3,greedy_hdh,45
pricingput_indep_qiskit_11.qasm,MQTBench,11,4,greedy_hdh,44
pricingput_indep_qiskit_13.qasm,MQTBench,13,2,greedy_hdh,52
pricingput_indep_qiskit_13.qasm,MQTBench,13,3,greedy_hdh,65
pricingput_indep_qiskit_13.qasm,MQTBench,13,4,greedy_hdh,95
pricingput_indep_qiskit_15.qasm,MQTBench,15,2,greedy_hdh,79
pricingput_indep_qiskit_15.qasm,MQTBench,15,3,greedy_hdh,127
pricingput_indep_qiskit_15.qasm,MQTBench,15,4,greedy_hdh,143
pricingput_indep_qiskit_17.qasm,MQTBench,17,2,greedy_hdh,170
pricingput_indep_qiskit_17.qasm,MQTBench,17,3,greedy_hdh,256
pricingput_indep_qiskit_17.qasm,MQTBench,17,4,greedy_hdh,210
pricingput_indep_qiskit_19.qasm,MQTBench,19,2,greedy_hdh,155
pricingput_indep_qiskit_19.qasm,MQTBench,19,3,greedy_hdh,227
pricingput_indep_qiskit_19.qasm,MQTBench,19,4,greedy_hdh,456
qaoa_indep_qiskit_11.qasm,MQTBench,11,2,greedy_hdh,8
qaoa_indep_qiskit_11.qasm,MQTBench,11,3,greedy_hdh,6
qaoa_indep_qiskit_11.qasm,MQTBench,11,4,greedy_hdh,20
qaoa_indep_qiskit_12.qasm,MQTBench,12,2,greedy_hdh,8
qaoa_indep_qiskit_12.qasm,MQTBench,12,3,greedy_hdh,10
qaoa_indep_qiskit_12.qasm,MQTBench,12,4,greedy_hdh,16
qaoa_indep_qiskit_13.qasm,MQTBench,13,2,greedy_hdh,12
qaoa_indep_qiskit_13.qasm,MQTBench,13,3,greedy_hdh,14
qaoa_indep_qiskit_13.qasm,MQTBench,13,4,greedy_hdh,14
qaoa_indep_qiskit_14.qasm,MQTBench,14,2,greedy_hdh,4
qaoa_indep_qiskit_14.qasm,MQTBench,14,3,greedy_hdh,14
qaoa_indep_qiskit_14.qasm,MQTBench,14,4,greedy_hdh,8
qaoa_indep_qiskit_15.qasm,MQTBench,15,2,greedy_hdh,4
qaoa_indep_qiskit_15.qasm,MQTBench,15,3,greedy_hdh,14
qaoa_indep_qiskit_15.qasm,MQTBench,15,4,greedy_hdh,18
qaoa_indep_qiskit_16.qasm,MQTBench,16,2,greedy_hdh,16
qaoa_indep_qiskit_16.qasm,MQTBench,16,3,greedy_hdh,16
qaoa_indep_qiskit_16.qasm,MQTBench,16,4,greedy_hdh,18
qft_indep_qiskit_11.qasm,MQTBench,11,2,greedy_hdh,33
qft_indep_qiskit_11.qasm,MQTBench,11,3,greedy_hdh,43
qft_indep_qiskit_11.qasm,MQTBench,11,4,greedy_hdh,50
qft_indep_qiskit_12.qasm,MQTBench,12,2,greedy_hdh,38
qft_indep_qiskit_12.qasm,MQTBench,12,3,greedy_hdh,53
qft_indep_qiskit_12.qasm,MQTBench,12,4,greedy_hdh,60
qft_indep_qiskit_13.qasm,MQTBench,13,2,greedy_hdh,45
qft_indep_qiskit_13.qasm,MQTBench,13,3,greedy_hdh,59
qft_indep_qiskit_13.qasm,MQTBench,13,4,greedy_hdh,63
qft_indep_qiskit_14.qasm,MQTBench,14,2,greedy_hdh,54
qft_indep_qiskit_14.qasm,MQTBench,14,3,greedy_hdh,70
qft_indep_qiskit_14.qasm,MQTBench,14,4,greedy_hdh,78
qft_indep_qiskit_15.qasm,MQTBench,15,2,greedy_hdh,62
qft_indep_qiskit_15.qasm,MQTBench,15,3,greedy_hdh,82
qft_indep_qiskit_15.qasm,MQTBench,15,4,greedy_hdh,91
qft_indep_qiskit_16.qasm,MQTBench,16,2,greedy_hdh,68
qft_indep_qiskit_16.qasm,MQTBench,16,3,greedy_hdh,91
qft_indep_qiskit_16.qasm,MQTBench,16,4,greedy_hdh,102
qft_indep_qiskit_17.qasm,MQTBench,17,2,greedy_hdh,76
qft_indep_qiskit_17.qasm,MQTBench,17,3,greedy_hdh,100
qft_indep_qiskit_17.qasm,MQTBench,17,4,greedy_hdh,111
qft_indep_qiskit_18.qasm,MQTBench,18,2,greedy_hdh,86
qft_indep_qiskit_18.qasm,MQTBench,18,3,greedy_hdh,114
qft_indep_qiskit_18.qasm,MQTBench,18,4,greedy_hdh,128
qft_indep_qiskit_19.qasm,MQTBench,19,2,greedy_hdh,94
qft_indep_qiskit_19.qasm,MQTBench,19,3,greedy_hdh,126
qft_indep_qiskit_19.qasm,MQTBench,19,4,greedy_hdh,141
qft_indep_qiskit_20.qasm,MQTBench,20,2,greedy_hdh,104
qft_indep_qiskit_20.qasm,MQTBench,20,3,greedy_hdh,142
qft_indep_qiskit_20.qasm,MQTBench,20,4,greedy_hdh,158
qftentangled_indep_qiskit_11.qasm,MQTBench,11,2,greedy_hdh,36
qftentangled_indep_qiskit_11.qasm,MQTBench,11,3,greedy_hdh,46
qftentangled_indep_qiskit_11.qasm,MQTBench,11,4,greedy_hdh,53
qftentangled_indep_qiskit_12.qasm,MQTBench,12,2,greedy_hdh,42
qftentangled_indep_qiskit_12.qasm,MQTBench,12,3,greedy_hdh,55
qftentangled_indep_qiskit_12.qasm,MQTBench,12,4,greedy_hdh,64
qftentangled_indep_qiskit_13.qasm,MQTBench,13,2,greedy_hdh,51
qftentangled_indep_qiskit_13.qasm,MQTBench,13,3,greedy_hdh,69
qftentangled_indep_qiskit_13.qasm,MQTBench,13,4,greedy_hdh,74
qftentangled_indep_qiskit_14.qasm,MQTBench,14,2,greedy_hdh,60
qftentangled_indep_qiskit_14.qasm,MQTBench,14,3,greedy_hdh,78
qftentangled_indep_qiskit_14.qasm,MQTBench,14,4,greedy_hdh,88
qftentangled_indep_qiskit_15.qasm,MQTBench,15,2,greedy_hdh,65
qftentangled_indep_qiskit_15.qasm,MQTBench,15,3,greedy_hdh,89
qftentangled_indep_qiskit_15.qasm,MQTBench,15,4,greedy_hdh,95
