workload_file,origin,n_qubits,k_partitions,best_method,best_cost
qft_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,12
qft_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,14
qft_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,14
qft_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,15
qft_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,16
qft_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,21
qft_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,18
qft_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,24
qft_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,26
qft_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,21
qft_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,31
qft_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,29
qftentangled_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,30
qftentangled_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,40
qftentangled_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,44
qftentangled_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,9
qftentangled_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,13
qftentangled_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,13
qftentangled_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,13
qftentangled_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,19
qftentangled_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,19
qftentangled_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,17
qftentangled_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,22
qftentangled_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,26
qftentangled_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,21
qftentangled_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,26
qftentangled_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,31
qftentangled_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,25
qftentangled_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,35
qftentangled_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,32
qnn_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,104
qnn_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,130
qnn_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,148
qnn_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,27
qnn_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,35
qnn_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,35
qnn_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,37
qnn_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,50
qnn_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,50
qnn_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,50
qnn_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,63
qnn_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,75
qnn_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,68
qnn_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,89
qnn_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,100
qnn_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,81
qnn_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,112
qnn_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,111
qpeexact_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,28
qpeexact_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,34
qpeexact_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,37
qpeexact_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,7
qpeexact_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,8
qpeexact_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,8
qpeexact_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,9
qpeexact_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,13
qpeexact_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,13
qpeexact_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,13
qpeexact_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,16
qpeexact_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,19
qpeexact_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,19
qpeexact_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,24
qpeexact_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,27
qpeexact_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,21
