workload_file,model,origin,n_qubits,k_partitions,best_method,best_cost,second_method,second_cost,methods_tested
ae_indep_qiskit_123.qasm,Circuit,MQTBench,123,3,greedy_hdh,5125,,,1
ae_indep_qiskit_123.qasm,Circuit,MQTBench,123,4,greedy_hdh,5765,,,1
ae_indep_qiskit_124.qasm,Circuit,MQTBench,124,2,greedy_hdh,3906,,,1
ae_indep_qiskit_124.qasm,Circuit,MQTBench,124,3,greedy_hdh,5206,,,1
ae_indep_qiskit_124.qasm,Circuit,MQTBench,124,4,greedy_hdh,5859,,,1
ae_indep_qiskit_125.qasm,Circuit,MQTBench,125,2,greedy_hdh,3968,,,1
ae_indep_qiskit_125.qasm,Circuit,MQTBench,125,3,greedy_hdh,5291,,,1
ae_indep_qiskit_125.qasm,Circuit,MQTBench,125,4,greedy_hdh,5949,,,1
ae_indep_qiskit_126.qasm,Circuit,MQTBench,126,2,greedy_hdh,4032,,,1
ae_indep_qiskit_126.qasm,Circuit,MQTBench,126,3,greedy_hdh,5376,,,1
ae_indep_qiskit_126.qasm,Circuit,MQTBench,126,4,greedy_hdh,6046,,,1
ae_indep_qiskit_127.qasm,Circuit,MQTBench,127,2,greedy_hdh,4096,,,1
ae_indep_qiskit_127.qasm,Circuit,MQTBench,127,3,greedy_hdh,5459,,,1
ae_indep_qiskit_127.qasm,Circuit,MQTBench,127,4,greedy_hdh,6143,,,1
ae_indep_qiskit_128.qasm,Circuit,MQTBench,128,2,greedy_hdh,4160,,,1
ae_indep_qiskit_128.qasm,Circuit,MQTBench,128,3,greedy_hdh,5546,,,1
ae_indep_qiskit_128.qasm,Circuit,MQTBench,128,4,greedy_hdh,6240,,,1
ae_indep_qiskit_129.qasm,Circuit,MQTBench,129,2,greedy_hdh,4224,,,1
ae_indep_qiskit_129.qasm,Circuit,MQTBench,129,3,greedy_hdh,5633,,,1
ae_indep_qiskit_129.qasm,Circuit,MQTBench,129,4,greedy_hdh,6333,,,1
ae_indep_qiskit_13.qasm,Circuit,MQTBench,13,2,greedy_hdh,48,,,1
ae_indep_qiskit_13.qasm,Circuit,MQTBench,13,3,greedy_hdh,63,,,1
ae_indep_qiskit_13.qasm,Circuit,MQTBench,13,4,greedy_hdh,69,,,1
ae_indep_qiskit_130.qasm,Circuit,MQTBench,130,2,greedy_hdh,4290,,,1
ae_indep_qiskit_130.qasm,Circuit,MQTBench,130,3,greedy_hdh,5718,,,1
ae_indep_qiskit_130.qasm,Circuit,MQTBench,130,4,greedy_hdh,6433,,,1
ae_indep_qiskit_14.qasm,Circuit,MQTBench,14,2,greedy_hdh,56,,,1
ae_indep_qiskit_14.qasm,Circuit,MQTBench,14,3,greedy_hdh,74,,,1
ae_indep_qiskit_14.qasm,Circuit,MQTBench,14,4,greedy_hdh,82,,,1
ae_indep_qiskit_15.qasm,Circuit,MQTBench,15,2,greedy_hdh,63,,,1
ae_indep_qiskit_15.qasm,Circuit,MQTBench,15,3,greedy_hdh,85,,,1
ae_indep_qiskit_15.qasm,Circuit,MQTBench,15,4,greedy_hdh,95,,,1
ae_indep_qiskit_16.qasm,Circuit,MQTBench,16,2,greedy_hdh,72,,,1
ae_indep_qiskit_16.qasm,Circuit,MQTBench,16,3,greedy_hdh,94,,,1
ae_indep_qiskit_16.qasm,Circuit,MQTBench,16,4,greedy_hdh,108,,,1
ae_indep_qiskit_17.qasm,Circuit,MQTBench,17,2,greedy_hdh,81,,,1
ae_indep_qiskit_17.qasm,Circuit,MQTBench,17,3,greedy_hdh,107,,,1
ae_indep_qiskit_17.qasm,Circuit,MQTBench,17,4,greedy_hdh,117,,,1
ae_indep_qiskit_18.qasm,Circuit,MQTBench,18,2,greedy_hdh,90,,,1
ae_indep_qiskit_18.qasm,Circuit,MQTBench,18,3,greedy_hdh,120,,,1
ae_indep_qiskit_18.qasm,Circuit,MQTBench,18,4,greedy_hdh,133,,,1
ae_indep_qiskit_19.qasm,Circuit,MQTBench,19,2,greedy_hdh,99,,,1
ae_indep_qiskit_19.qasm,Circuit,MQTBench,19,3,greedy_hdh,131,,,1
ae_indep_qiskit_19.qasm,Circuit,MQTBench,19,4,greedy_hdh,149,,,1
ae_indep_qiskit_2.qasm,Circuit,MQTBench,2,2,greedy_hdh,2,,,1
ae_indep_qiskit_2.qasm,Circuit,MQTBench,2,3,greedy_hdh,2,,,1
ae_indep_qiskit_2.qasm,Circuit,MQTBench,2,4,greedy_hdh,2,,,1
ae_indep_qiskit_20.qasm,Circuit,MQTBench,20,2,greedy_hdh,110,,,1
ae_indep_qiskit_20.qasm,Circuit,MQTBench,20,3,greedy_hdh,147,,,1
ae_indep_qiskit_20.qasm,Circuit,MQTBench,20,4,greedy_hdh,165,,,1
ae_indep_qiskit_21.qasm,Circuit,MQTBench,21,2,greedy_hdh,121,,,1
ae_indep_qiskit_21.qasm,Circuit,MQTBench,21,3,greedy_hdh,161,,,1
ae_indep_qiskit_21.qasm,Circuit,MQTBench,21,4,greedy_hdh,177,,,1
ae_indep_qiskit_22.qasm,Circuit,MQTBench,22,2,greedy_hdh,132,,,1
ae_indep_qiskit_22.qasm,Circuit,MQTBench,22,3,greedy_hdh,174,,,1
ae_indep_qiskit_22.qasm,Circuit,MQTBench,22,4,greedy_hdh,196,,,1
ae_indep_qiskit_23.qasm,Circuit,MQTBench,23,2,greedy_hdh,144,,,1
ae_indep_qiskit_23.qasm,Circuit,MQTBench,23,3,greedy_hdh,192,,,1
ae_indep_qiskit_23.qasm,Circuit,MQTBench,23,4,greedy_hdh,216,,,1
ae_indep_qiskit_24.qasm,Circuit,MQTBench,24,2,greedy_hdh,156,,,1
ae_indep_qiskit_24.qasm,Circuit,MQTBench,24,3,greedy_hdh,208,,,1
ae_indep_qiskit_24.qasm,Circuit,MQTBench,24,4,greedy_hdh,234,,,1
ae_indep_qiskit_25.qasm,Circuit,MQTBench,25,2,greedy_hdh,168,,,1
ae_indep_qiskit_25.qasm,Circuit,MQTBench,25,3,greedy_hdh,225,,,1
ae_indep_qiskit_25.qasm,Circuit,MQTBench,25,4,greedy_hdh,252,,,1
ae_indep_qiskit_26.qasm,Circuit,MQTBench,26,2,greedy_hdh,182,,,1
ae_indep_qiskit_26.qasm,Circuit,MQTBench,26,3,greedy_hdh,242,,,1
